acera a-ce-ra
alcanza al-can-za
asi a-si
bestias bes-tias
bueno bue-no
celebro ce-le-bro
controla con-tro-la
demasiado de-ma-sia-do
dormir dor-mir
enflaquece en-fla-que-ce
fermosura fer-mo-su-ra
futuro fu-tu-ro
hace ha-ce
hicieron hi-cie-ron
hombres hom-bres
leer le-er
manera ma-ne-ra
mucho mu-cho
para pa-ra
pasado pa-sa-do
pero pe-ro
poco po-co
presente pre-sen-te
quejo que-jo
razon ra-zon
seco se-co
sienten sien-ten
sincero sin-ce-ro
sino si-no
sinrazon sin-ra-zon
tristezas tris-te-zas
vuelven vuel-ven
vuestra vues-tra
